,_DEJ2000,Source,SolID,PF,P1O,EpochG,Gmagavg,BPmagavg,RPmagavg,RVavg,ptpG,ptpRV,R21G,R31G,phi21G,phi31G,FuNFreq1,FuNFreq2,Class,Pratio
321.8382128,-19.13324157,6.83128E+18,3.75317E+17,0.473023968,0.35205605,1756.139195,13.281129,13.433476,12.955746,,0.4550423,,,,,,2.840479136,2.113995585,RRd,0.744266832
319.6999075,-34.50767818,6.78273E+18,3.75317E+17,0.504863106,0.37636962,1720.692377,13.554656,13.8118,13.123716,106.78434,0.3127102,63.22147646,0.28774104,,4.833009,,2.656939974,1.980780153,RRd,0.745488461
299.0631118,14.83951256,1.80747E+18,3.75317E+17,0.48395333,0.360243095,1760.121949,13.94577,14.195241,13.533243,,0.26119402,,0.21778397,,4.4563823,,2.775977665,2.066293565,RRd,0.744375691
241.1552472,-20.58263006,6.24407E+18,3.75317E+17,0.464788777,0.345564537,1709.571022,14.30145,14.582668,13.841237,,0.3034697,,0.27653557,,4.6057124,,2.893819777,2.151562979,RRd,0.743487266
299.8063234,-18.70102033,6.86735E+18,3.75317E+17,0.557759177,0.41595393,1720.506954,14.333752,14.656221,13.835068,,0.26524433,,,,,,2.40414749,1.79290353,RRd,0.745759007
298.3858454,-22.86274044,6.86395E+18,3.75317E+17,0.540136182,0.402873507,1719.218162,14.477668,14.699776,14.0780325,,0.40005693,,,,,,2.482075578,1.851307952,RRd,0.745873949
248.5725348,6.37198436,4.43893E+18,3.75317E+17,0.563248607,0.420092061,1715.140486,14.480068,14.694125,14.091014,,0.2516359,,0.21116664,,4.92564,,2.380417823,1.775327438,RRd,0.745837728
251.4821337,5.724450077,4.43491E+18,3.75317E+17,0.513835589,0.382841722,1715.530589,14.551924,14.808947,14.160212,,0.5307728,,,,,,2.611834189,1.94607852,RRd,0.745066575
333.4437087,37.36799719,1.95513E+18,3.75317E+17,0.46214673,0.343247813,1671.162301,14.561206,14.7949295,14.155714,,0.49169505,,,,,,2.913455065,2.163792208,RRd,0.742724749
313.8363214,-21.87430167,6.80856E+18,3.75317E+17,0.529767113,0.393003744,1722.898197,14.573399,14.77811,14.197432,,1.0699819,,0.50522536,0.34698164,3.811311,1.7467835,1.887620639,2.54449739,RRd,0.741842471
297.0696522,47.33081866,2.08638E+18,3.75317E+17,0.543541786,0.405368775,1766.521188,14.6500845,14.892997,14.248662,,0.10025204,,,,,,2.466964081,1.839691263,RRd,0.745791372
261.3972852,-57.10863328,5.92224E+18,3.75317E+17,0.444960906,0.44496091,1706.638596,14.847386,15.058676,14.408386,,0.868903,,0.5021139,0.27760747,4.0190134,1.7806797,2.247388427,1.659027591,RRd,1.00000001
267.1349968,-39.82421741,5.95814E+18,3.75317E+17,0.540764605,0.401536288,1710.154602,14.869929,15.172595,14.373612,,0.23666899,,0.51629317,,3.2216663,,1.849235362,2.490323088,RRd,0.742534338
274.6403429,14.33896023,4.49762E+18,3.75317E+17,0.575507443,0.429024786,1721.052551,14.954446,15.241958,14.466298,,0.51506287,,0.27224398,,4.832443,,2.330703385,1.737637608,RRd,0.745472176
163.2140833,-39.19377174,5.39359E+18,3.75317E+17,0.535213015,0.398774082,1682.074604,15.003441,15.218636,14.624663,,0.29334685,,,,,,2.507656676,1.868406366,RRd,0.745075457
261.5595932,-14.6829125,4.13711E+18,3.75317E+17,0.35353388,0.353530483,1714.287633,15.037794,15.479501,14.413184,,0.26419836,,0.55459857,,4.023145,,2.828610394,2.104459447,RRd,0.999990393
107.0024671,-38.83303219,5.56475E+18,3.75317E+17,0.530106061,0.39548779,1764.139938,15.081473,15.316204,14.682966,,0.41630515,,0.21741724,,4.4012327,,2.528514167,1.886344724,RRd,0.746054081
251.6107053,-25.72982503,6.04665E+18,3.75317E+17,0.483438614,0.35969209,1743.587013,15.108026,15.444261,14.619026,,0.5910538,,0.5588468,,4.294402,,2.780040681,2.068666642,RRd,0.744028464
266.5315971,8.824057834,4.48825E+18,3.75317E+17,0.443434187,0.331091302,1718.701826,15.112966,15.384252,14.656529,,1.0148314,,0.5401452,0.33603176,3.7589054,1.3779583,2.255143347,3.02002596,RRd,0.746652629
148.2556332,-35.39021092,5.43499E+18,3.75317E+17,0.477448907,0.355103525,1665.618593,15.158016,15.401721,14.732482,,0.39100656,,,,,,2.816075775,2.094480385,RRd,0.743751885
253.4646704,-11.60256743,4.33419E+18,3.75317E+17,0.534045771,0.398442227,1746.368895,15.1654,15.532958,14.59659,,0.36157706,,0.30531,,5.2028494,,2.509756415,1.872454823,RRd,0.746082543
298.1120347,-23.29843569,6.86391E+18,3.75317E+17,0.453964598,0.336602539,1719.21397,15.166301,15.377022,14.796304,,0.23430279,,,,,,2.970859218,2.202844473,RRd,0.741473103
246.6486408,-20.23347555,6.24485E+18,3.75317E+17,0.417652995,0.417631507,1710.256733,15.231231,15.787876,14.493986,,0.309572,,0.2621359,,4.344183,,2.394455359,1.787451851,RRd,0.99994855
307.1147292,-0.892149744,4.22915E+18,3.75317E+17,0.506061523,0.377161628,1790.984555,15.237633,15.512949,14.754545,,0.5617714,,,,,,2.651311163,1.976023535,RRd,0.745288095
302.3874589,14.25655371,1.80664E+18,3.75317E+17,0.48715356,0.362776236,1760.29914,15.2400055,15.517664,14.77468,,0.51599586,,,,,,2.756480805,2.052743155,RRd,0.74468559
254.6859686,-55.72158801,5.91755E+18,3.75317E+17,0.482885349,0.359565766,1741.481564,15.276823,15.5472975,14.798699,,0.5411306,,,,,,2.781011555,2.070842283,RRd,0.744619333
170.9334973,-36.63711583,5.39798E+18,3.75317E+17,0.467434986,0.347349537,1687.477652,15.281417,15.481903,14.920778,,0.6559409,,,,,,2.878940989,2.139325641,RRd,0.743097002
192.8062656,-58.28950568,6.06023E+18,3.75317E+17,0.536966102,0.400706167,1698.536514,15.286568,15.724785,14.63032,,0.1934434,,0.32417437,,5.1952233,,2.495594729,1.862333869,RRd,0.746241087
251.6859204,-0.438037788,4.38268E+18,3.75317E+17,0.531505108,0.39631648,1714.421777,15.315367,15.622648,14.845183,,0.29463762,,,,,,2.523277494,1.88150887,RRd,0.745649428
15.484308,-23.43924318,2.34525E+18,3.75317E+17,0.404091812,0.404107139,1683.048259,15.323868,15.504532,14.99781,,0.24969818,,0.28232315,,4.2864623,,2.474591275,1.846116324,RRd,1.000037929
284.7436187,-59.19496509,6.63337E+18,3.75317E+17,0.544257687,0.405787521,1708.127496,15.363815,15.564624,14.982055,,0.1648335,,,,,,2.464451133,1.837346632,RRd,0.74557977
204.7275998,-49.45208957,6.07064E+18,3.75317E+17,0.40277864,0.402781324,1700.30854,15.367332,15.600826,14.909207,,0.5625439,,0.29954457,,4.3132935,,2.482736764,1.852038302,RRd,1.000006663
191.7002994,-2.12197135,3.68266E+18,3.75317E+17,0.612307232,0.448981161,1689.643398,15.371587,15.563227,14.980721,,0.8928887,,0.45168152,0.25898093,4.1669264,2.4209135,1.633154262,2.227185463,RRd,0.733261241
272.9595902,-37.6592069,4.03759E+18,3.75317E+17,0.493131787,0.367501112,1711.906512,15.38274,15.61756,14.948613,,0.57088935,,0.31939143,,4.382278,,2.721071454,2.027814677,RRd,0.745239146
263.4963752,0.602410406,4.37403E+18,3.75317E+17,0.542294952,0.404357464,1751.516787,15.442145,15.754791,14.899141,,0.49562785,,,,,,2.473131222,1.844022786,RRd,0.74564121
