,_DEJ2000,Source,SolID,PF,P1O,EpochG,Gmagavg,BPmagavg,RPmagavg,RVavg,ptpG,ptpRV,R21G,R31G,phi21G,phi31G,FuNFreq1,FuNFreq2,Class,Pratio
131.9453364,-3.650131235,5.76212E+18,3.75317E+17,0.56388382,0.420792616,1759.39381,10.677523,10.8502445,10.348854,17.77456,0.48373637,38.20175832,,,,,2.376401568,1.773380301,RRd,0.746239918
323.6545372,-49.12468932,6.56291E+18,3.75317E+17,0.488010807,0.363200872,1714.230161,12.234382,12.399042,11.938643,26.245932,0.5721029,34.56551021,,,,,2.753197847,2.049207686,RRd,0.744247599
223.4162592,40.52868287,1.48902E+18,3.75317E+17,0.474600576,0.352980645,1718.570698,12.553254,12.712768,12.271401,,0.5466888,,,,,,2.833051311,2.10711602,RRd,0.743742555
203.6632689,24.27718561,1.44466E+18,3.75317E+17,0.487909313,0.363061782,1690.696665,12.649028,12.810536,12.358913,,0.43608314,,,,,,2.754321872,2.049626128,RRd,0.744117343
52.08425703,-64.97715278,4.67212E+18,3.75317E+17,0.476622876,0.354819942,1665.712444,12.73225,12.935444,12.373765,163.53897,0.4078377,32.03794446,,,,,2.818331122,2.098038335,RRd,0.744445891
359.0907355,-53.4894844,6.52127E+18,3.75317E+17,0.566801863,0.422487049,1708.188539,12.823881,13.003843,12.490056,-0.0973061,0.15172493,34.71904523,,,,,2.3669296,1.764298687,RRd,0.745387545
257.1286908,18.5206676,4.56048E+18,3.75317E+17,0.483625657,0.359978958,1719.00365,13.009823,13.208119,12.668482,-201.51997,0.32547453,38.68239211,,,,,2.777967285,2.067758849,RRd,0.744333872
294.8895891,-65.48087243,6.44029E+18,3.75317E+17,0.491505568,0.365741866,1706.952588,13.235671,13.443921,12.845205,,0.5072039,,,,,,2.734162095,2.034583235,RRd,0.744125581
60.22403803,-49.39602001,4.8305E+18,3.75317E+17,0.558592139,0.416676618,1723.171246,13.7464695,13.941868,13.434658,,0.26407796,,,,,,2.399914794,1.790283991,RRd,0.745940712
40.27218103,-59.58580803,4.72605E+18,3.75317E+17,0.475254689,0.353647486,1671.306354,13.748047,13.898283,13.446243,,0.6633952,,,,,,2.827801819,2.104115368,RRd,0.744122034
253.8808007,28.73567706,1.30798E+18,3.75317E+17,0.54527561,0.40686071,1720.154956,13.84432,14.042601,13.47947,,0.43082324,,0.2985611,,5.2537155,,2.457862813,1.833884783,RRd,0.746156078
143.5486504,63.33313976,1.06415E+18,3.75317E+17,0.477633479,0.355659947,1707.862908,14.014044,14.191488,13.685914,,0.23978384,,,,,,2.811694036,2.093723135,RRd,0.744629435
309.8411995,-11.55867749,6.90124E+18,3.75317E+17,0.487912444,0.363559777,1724.657519,14.042794,14.221448,13.720794,,0.51426005,,,,,,2.750545519,2.049532225,RRd,0.745133233
146.2502148,-37.9715295,5.43306E+18,3.75317E+17,0.553031595,0.412369197,1767.843608,14.07078,14.351789,13.615211,,0.3681386,,0.2240498,,4.762385,,2.425004585,1.808245109,RRd,0.74565215
275.8819763,-69.30478759,6.43247E+18,3.75317E+17,0.494299504,0.368076305,1705.289602,14.093847,14.308251,13.728278,,0.61923105,,,,,,2.71682586,2.023119091,RRd,0.744642271
139.0168231,-23.60200741,5.65088E+18,3.75317E+17,0.484299359,0.360320218,1789.956116,14.108839,14.346441,13.728138,,0.17049327,,,,,,2.775278169,2.064844504,RRd,0.744003087
199.9448085,14.67271295,3.74344E+18,3.75317E+17,0.460440146,0.341877534,1691.573325,14.1112995,14.26055,13.821779,,0.66561157,,0.31441733,,5.407801,,2.924916741,2.171881942,RRd,0.742501576
328.2980203,-34.21921528,6.58857E+18,3.75317E+17,0.475349572,0.353538187,1724.914332,14.192439,14.36337,13.909272,,0.33439684,,,,,,2.828675472,2.103682296,RRd,0.743743569
190.8451655,34.9545768,1.51541E+18,3.75317E+17,0.486648155,0.486657732,1671.777698,14.222375,14.385392,13.919264,,0.26962638,,,,,,2.054872681,2.760722854,RRd,1.000019678
121.2459867,-77.07649047,5.21046E+18,3.75317E+17,0.479468094,0.356882525,1696.515269,14.223881,14.445292,13.847126,,0.5896431,,,,,,2.802027998,2.08567599,RRd,0.74433008
210.7374,72.00545733,1.67532E+18,3.75317E+17,0.490933695,0.36559991,1698.993632,14.284807,14.444963,13.981133,,0.64412886,,,,,,2.735441954,2.036876057,RRd,0.744703234
314.2887582,-3.930174061,6.91557E+18,3.75317E+17,0.482233331,0.358958939,1758.309779,14.33963,14.543394,14.013665,,0.5156103,,0.4150555,,4.7255907,,2.785930969,2.073712445,RRd,0.744367748
98.79736672,-33.19278329,5.58214E+18,3.75317E+17,0.477769614,0.355623878,1724.959607,14.361367,14.548768,14.019396,,0.5943908,,,,,,2.811970468,2.093068015,RRd,0.744341767
313.3609419,-46.60311168,6.48256E+18,3.75317E+17,0.557169814,0.415103932,1714.22437,14.392588,14.582211,14.059195,,0.52329475,,,,,,2.408888193,1.795009833,RRd,0.745022293
259.0349946,48.29795444,1.36595E+18,3.75317E+17,0.532349565,0.397055104,1724.764019,14.398218,14.574394,14.073191,,0.47582603,,0.32213542,,5.321051,,2.518615052,1.878543641,RRd,0.745854097
10.48853352,34.34181689,3.62365E+17,3.75317E+17,0.484316629,0.360455173,1697.058083,14.43036,14.665082,14.03692,,0.18979064,,,,,,2.774272643,2.064696026,RRd,0.744255206
300.8715778,9.682495925,4.30038E+18,3.75317E+17,0.519390145,0.387086227,1759.265207,14.467095,14.715212,14.039397,,0.61221063,,0.38589436,,4.713289,,2.583346757,1.92528595,RRd,0.745270642
