specObjID,ra,dec,redshift,zErr,class,subClass,u,g,r,i,z,plate,mjd,fiberID
3.52E+18,72.419032,-4.0642494,5.41E-08,7.13E-06,STAR,K3,19.72962,17.74245,16.90285,16.60858,16.45607,3123,54741,330
8.25E+18,39.845402,0.041407054,6.03E-08,7.20E-06,STAR,K3V (32147),20.71584,18.58661,17.74881,17.42298,17.24991,7330,56684,120
3.51E+18,60.230058,11.321569,6.24E-08,1.76E-05,STAR,K3,20.89837,18.97147,17.98908,17.54557,17.22417,3121,54762,35
3.50E+18,9.1213398,-10.5269,7.03E-08,1.09E-05,STAR,K7,20.49727,17.92315,16.69374,16.16261,15.8439,3105,54825,61
1.68E+18,11.101756,-1.071603,1.12E-07,7.95E-06,STAR,K5,20.00617,17.45539,16.3126,15.89323,15.6841,1495,52944,87
2.03E+18,207.20209,9.4350333,1.46E-07,1.20E-05,STAR,F5,17.88431,16.97014,16.66923,16.54905,16.53725,1806,53559,355
8.25E+18,39.05774,-0.1762178,1.67E-07,5.51E-06,STAR,K3V (32147),19.23869,17.12616,16.27095,15.95147,15.80325,7330,56684,268
3.07E+18,112.45535,16.332824,2.47E-07,9.85E-06,STAR,K1,20.85599,19.26187,18.58622,18.32309,18.21776,2728,54416,430
3.07E+18,112.54744,16.419794,3.28E-07,7.61E-05,STAR,WD,20.03608,19.6456,19.81992,19.74364,20.41048,2728,54416,461
3.50E+18,7.4633698,-10.3401,3.34E-07,1.62E-05,STAR,G2,20.47626,19.25456,18.76122,18.56847,18.4608,3105,54825,222
3.79E+18,192.68843,47.055786,3.85E-07,7.37E-06,STAR,K1,19.35798,17.61024,16.90368,16.64805,16.56686,3367,54998,234
3.51E+18,57.950797,12.582543,6.54E-07,7.08E-06,STAR,K5,20.54518,17.98445,16.82433,16.35951,16.07581,3121,54749,338
3.50E+18,13.8672,0.116043,7.43E-07,8.40E-06,STAR,F9,19.41191,18.16371,17.59509,17.57695,17.5417,3112,54802,225
1.35E+18,126.82512,34.100048,7.54E-07,9.73E-06,STAR,G2,18.40672,17.17422,16.73208,16.58569,16.55024,1197,52668,250
2.95E+18,0.205513,-5.525567,7.56E-07,9.12E-06,STAR,F9,19.26558,17.95503,17.43394,17.2581,17.17421,2624,54380,284
3.07E+18,104.4469,13.032356,1.20E-06,7.83E-06,STAR,K5,21.1601,18.69256,17.61079,17.19703,16.97958,2727,54414,349
2.37E+18,203.56025,31.692196,1.33E-06,1.89E-05,STAR,F5,18.76486,17.87136,17.58356,17.50352,17.46112,2109,53468,215
3.50E+18,13.7142,0.77792602,1.37E-06,8.66E-06,STAR,K5,19.26954,16.92439,15.88942,15.45706,15.2242,3112,54802,345
1.25E+18,327.31293,0.733681,1.57E-06,1.35E-05,STAR,M3,21.68888,19.2511,17.7588,16.61227,15.99098,1107,52968,389
3.07E+18,112.34779,15.87545,1.61E-06,9.76E-06,STAR,K3,21.59549,19.61736,18.68961,18.36512,18.17769,2728,54416,422
3.80E+18,130.9269,23.901922,1.63E-06,7.00E-06,STAR,K3,19.05142,17.31778,16.57482,16.28197,16.11156,3373,54940,567
3.07E+18,229.52003,5.918314,1.65E-06,1.19E-05,STAR,F9,19.44826,18.01356,17.47478,17.27581,17.17522,2724,54616,140
6.46E+17,154.42488,2.8547779,1.78E-06,6.74E-06,STAR,A0,17.89393,16.62859,16.6966,16.78735,16.84629,574,52355,54
8.39E+18,130.50269,-0.37648908,1.81E-06,5.93E-06,STAR,K5Ve (118100),19.58802,17.09679,16.03585,15.68171,15.47592,7452,56745,152
